Constituency,BJP,INC
Namakkal,,1.867882237
Nanded,40.59288771,48.62576675
Nandurbar,51.8776678,42.30714828
Nandyal,,1.353911778
Narasaraopet,,1.788466291
Narsapuram,49.61022934,2.486727598
Nashik,,
Navsari,70.67136988,22.61906402
Nawada,44.12204316,
Nellore,,1.923689986
New Delhi,46.72897196,18.85166399
Nilgiris,,4.038809075
Nizamabad,21.79168536,26.31669039
North East Delhi,45.23040667,16.29713484
North Goa,58.46072565,32.51151876
North West Delhi,46.43601759,11.60922557
Ongole,,1.104802366
Osmanabad,,
Outer Manipur,9.799216094,38.35144485
Palakkad,15.00171339,
Palamu,48.71529066,
Palghar,53.70841182,
Pali,64.86853989,28.50144862
Panch Mahals,54.35992539,36.11467611
Parbhani,,
Pashchim Champaran,43.42742969,
Pataliputra,39.15651388,
Patan,54.20544921,39.70443731
Pathanamthitta,15.94879088,41.18698286
Patiala,,30.75219226
Patna Sahib,55.04334095,24.93293821
Peddapalle,,26.75961818
Perambalur,23.15545923,3.101585203
Phulpur,52.43169908,6.052254277
Pilibhit,52.06078997,2.776498047
POK,,
Pollachi,27.26412784,2.96360807
Ponnani,8.629237203,
PorBandar,62.77116243,
Pratapgarh,,15.49650988
Puducherry,,26.34568065
Pune,57.32841968,25.559828
Purba Champaran,48.67598813,
Puri,20.75668094,24.99309756
Purnia,29.68872513,12.21753869
Puruliya,7.146710778,21.37507635
Rae Bareli,21.05346716,63.79920062
Raichur,45.62833382,45.78302188
Raiganj,18.32480381,28.49617908
Raigarh,,
Raigarh1,53.15903545,35.76642629
Raipur,52.35723559,38.63512813
Rajahmundry,,1.836635179
Rajampet,36.77014504,2.525918392
Rajgarh,59.03447826,36.40542099
Rajkot,58.75723093,35.46058123
Rajmahal,35.53120288,
Rajnandgaon,54.61005427,34.58883736
Rajsamand,65.59237136,25.3388496
Ramanathapuram,17.08687558,6.208252101
Rampur,37.42069587,16.32684153
Ramtek,,32.75156095
Ranaghat,17.26256129,6.812679749
Ranchi,42.74476632,23.75967696
Ratlam,50.40756843,40.39428287
Ratnagiri - SindhuDurg,,38.26791119
Raver,59.86175831,
Rewa,46.17245167,25.84871933
Robertsganj,42.69344694,9.734432358
Rohtak,30.54690391,46.86355756
Sabar Kantha,50.38996663,42.68325511
Sagar,54.10089686,40.56535874
Saharanpur,39.59313572,34.14467346
Salem,,4.038802115
Salempur,45.83126893,4.894972516
Samastipur,,30.52892051
Sambalpur,33.31400421,24.58939146
Sambhal,34.07819855,1.516785482
Sangli,58.38254527,35.53865834
Sangrur,,16.49097864
Sant Kabir Nagar,34.4709638,2.176492615
Sant Ravi Das Nagar (Bhadohi),41.10302458,2.298315743
Saran (Chhapra),41.12127023,
Sasaram,43.19060226,35.71934196
Satara,,
Satna,41.08463399,40.13351565
Secunderabad,43.61934108,18.2665962
Shahdol,54.21631673,29.31723344
Shahjahanpur,46.44846975,2.38915095
Sheohar,44.19201686,
Shillong,15.47946023,33.76228346
Shimla,52.29653396,40.88980783
Shimoga,53.63015807,21.48962635
Shirdi,,35.69691272
Shirur,,
Shivaganga,13.01863893,10.18790761
Shrawasti,35.2953899,2.041020367
Shrirampur,22.28332174,6.668375732
Sidhi,48.0688699,37.15045636
Sikar,46.78648982,24.37857273
Sikkim,2.347345168,2.318321805
Silchar,37.64852048,42.05332613
Singhbhum,38.11281043,14.05616633
Sirsa,,30.53567227
Sitamarhi,,
Sitapur,40.6573793,2.833920975
Siwan,42.1551416,
Solapur,54.42706855,38.69691333
Sonipat,35.19468922,27.34751718
South Delhi,45.15396033,11.35359419
South Goa,48.42348871,40.54763152
Srikakulam,,2.291872108
Srinagar,1.430607376,
Sriperumbudur,,3.032290808
Sultanpur,42.50945292,4.349172805
Sundargarh,33.68954699,26.64775611
Supaul,25.72711799,34.30313309
Surat,75.75125239,19.53029525
Surendranagar,55.95316038,34.4914902
Surguja,49.29855162,36.89794488
Tamluk,6.445690768,2.21506408
Tehri Garhwal,57.49866464,32.72174993
Tenkasi,,5.783884422
Tezpur,45.52304847,36.75306827
Thane,,
Thanjavur,5.778904397,2.985387087
Theni,,6.634407304
Thiruvananthapuram,32.32378741,34.09490052
Thoothukkudi,,6.879605808
Thrissur,11.15289241,38.12257852
Tikamgarh,55.15597005,27.93769022
Tiruchirappalli,,5.212033074
Tirunelveli,,6.530223436
Tirupati,44.71076606,2.744895884
Tiruppur,,4.525840327
Tiruvallur,,3.50435254
Tiruvannamalai,,1.670853002
Tonk - Sawai Madhopur,52.54563307,39.56519865
Tripura East,6.361732833,14.63231088
Tripura West,5.08452207,15.63100642
Tumkur,32.28884985,39.00756072
Tura,,43.55335687
Udaipur,55.31619221,35.48380612
Udhampur,46.75563017,40.90591198
Udupi Chikmagalur,56.18765312,38.62630446
Ujiapur,36.94757982,
Ujjain,63.07472833,32.60853096
Uluberiya,11.55155015,5.71323159
Unnao,43.17119402,16.40015111
Uttara Kannada,54.61361798,40.56427052
Vadakara,7.947085385,43.37130206
Vadodara,72.74886247,23.69158332
Vaishali,,
Valmiki Nagar,40.43829548,27.35241938
Valsad,55.00194982,36.48277839
Varanasi,56.36546722,7.335382204
Vellore,33.25728079,2.220050595
Vidisha,66.5264146,28.27857822
Vijayawada,,3.316138234
Viluppuram,,2.00922741
Virudunagar,,3.803647872
Visakhapatnam,48.71440088,4.351390792
Vizianagaram,,10.88178462
Warangal,15.90434903,22.86697947
Wardha,53.03016551,31.74156084
Wayanad,8.824024355,41.19979719
West Delhi,48.29641504,14.32933159
Yavatmal - Washim,,37.16743339
Zahirabad,,33.10013603
